variable,label
sitecode,Site code
sitename,Site name
sitetype,Site type
sitetypenum,"1=District, 2=State, 3=National"
year,4-digit Year of survey
survyear,1=1991...14=2017
weight,Analysis weight
stratum,Analysis stratum
psu,Analysis primary sampling unit
record,Record ID
age,1= <=12...7=18+ years old
sex,"1=Female, 2=Male"
grade,1=9th...4=12th grade
race4,4-level race variable
race7,7-level race variable
stheight,Height in meters
stweight,Weight in kilograms
bmi,Body Mass Index
bmipct,BMI percentile
qnobese,Had obesity
qnowt,Were overweight
q67,Sexual identity
q66,Sex of sexual contacts
sexid,Sexual identity
sexid2,Collapsed sexual identity
sexpart,Sex of sex contact(s)
sexpart2,Collapsed sex of sex contact(s)
q8,Seat belt use
q9,Riding with a drinking driver
q10,Drinking and driving
q11,Texting and driving
q12,Weapon carrying
q13,Weapon carrying at school
q14,Gun carrying past 12 mos
q15,Safety concerns at school
q16,Threatened at school
q17,Physical fighting
q18,Physical fighting at school
q19,Forced sexual intercourse
q20,Sexual violence
q21,Sexual dating violence
q22,Physical dating violence
q23,Bullying at school
q24,Electronic bullying
q25,Sad or hopeless
q26,Considered suicide
q27,Made a suicide plan
q28,Attempted suicide
q29,Injurious suicide attempt
q30,Ever cigarette use
q31,Initiation of cigarette smoking
q32,Current cigarette use
q33,Smoked >10 cigarettes
q34,Electronic vapor product use
q35,Current electronic vapor product use
q36,EVP from store
q37,Current smokeless tobacco use
q38,Current cigar use
q39,All tobacco product cessation
q40,Ever alcohol use
q41,Initiation of alcohol use
q42,Current alcohol use
q43,Source of alcohol
q44,Current binge drinking
q45,Largest number of drinks
q46,Ever marijuana use
q47,Initiation of marijuana use
q48,Current marijuana use
q49,Ever cocaine use
q50,Ever inhalant use
q51,Ever heroin use
q52,Ever methamphetamine use
q53,Ever ecstasy use
q54,Ever synthetic marijuana use
q55,Ever steroid use
q56,Ever prescription pain medicine use
q57,Illegal injected drug use
q58,Illegal drugs at school
q59,Ever sexual intercourse
q60,Sex before 13 years
q61,Multiple sex partners
q62,Current sexual activity
q63,Alcohol/drugs and sex
q64,Condom use
q65,Birth control pill use
q68,Perception of weight
q69,Weight loss
q70,Fruit juice drinking
q71,Fruit eating
q72,Green salad eating
q73,Potato eating
q74,Carrot eating
q75,Other vegetable eating
q76,No soda drinking
q77,No milk drinking
q78,Breakfast eating
q79,Physical activity >= 5 days
q80,Television watching
q81,Computer use
q82,PE attendance
q83,Sports team participation
q84,Concussion
q85,HIV testing
q86,Oral health care
q87,Asthma
q88,Sleep
q89,Grades in school
qn8,Rarely or never wore a seat belt
qn9,Rode with a driver who had been drinking alcohol
qn10,Drove a car or other vehicle when they had been drinking alcohol
qn11,Texted or e-mailed while driving a car or other vehicle
qn12,Carried a weapon
qn13,Carried a weapon on school property
qn14,Carried a gun
qn15,Did not go to school because they felt unsafe at school or on their way to or from school
qn16,Were threatened or injured with a weapon on school property
qn17,Were in a physical fight
qn18,Were in a physical fight on school property
qn19,Were ever physically forced to have sexual intercourse
qn20,Experienced sexual violence
qn21,Experienced sexual dating violence
qn22,Experienced physical dating violence
qn23,Were bullied on school property
qn24,Were electronically bullied
qn25,Felt sad or hopeless
qn26,Seriously considered attempting suicide
qn27,Made a plan about how they would attempt suicide
qn28,Attempted suicide
qn29,"Had a suicide attempt that resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse"
qn30,Ever tried cigarette smoking
qn31,First tried cigarette smoking before age 13 years
qn32,Currently smoked cigarettes
qn33,Smoked more than 10 cigarettes per day
qn34,Ever used an electronic vapor product
qn35,Currently used an electronic vapor product
qn36,Usually got their own electronic vapor products by buying them in a store
qn37,Currently used smokeless tobacco
qn38,Currently smoked cigars
qn39,Tried to quit using all tobacco products
qn40,Ever drank alcohol
qn41,Had their first drink of alcohol before age 13 years
qn42,Currently drank alcohol
qn43,Usually got the alcohol they drank by someone giving it to them
qn44,Currently were binge drinking
qn45,Reported that the largest number of drinks they had in a row was 10 or more
qn46,Ever used marijuana
qn47,Tried marijuana for the first time before age 13 years
qn48,Currently used marijuana
qn49,Ever used cocaine
qn50,Ever used inhalants
qn51,Ever used heroin
qn52,Ever used methamphetamines
qn53,Ever used ecstasy
qn54,Ever used synthetic marijuana
qn55,Ever took steroids without a doctor's prescription
qn56,Ever took prescription pain medicine without a doctor's prescription or differently than how a doctor told them to use it
qn57,Ever injected any illegal drug
qn58,"Were offered, sold, or given an illegal drug on school property"
qn59,Ever had sexual intercourse
qn60,Had sexual intercourse for the first time before age 13 years
qn61,Had sexual intercourse with four or more persons during their life
qn62,Were currently sexually active
qn63,Drank alcohol or used drugs before last sexual intercourse
qn64,Used a condom during last sexual intercourse
qn65,Used birth control pills before last sexual intercourse
qn68,Described themselves as slightly or very overweight
qn69,Were trying to lose weight
qn70,Did not drink fruit juice
qn71,Did not eat fruit
qn72,Did not eat green salad
qn73,Did not eat potatoes
qn74,Did not eat carrots
qn75,Did not eat other vegetables
qn76,"Did not drink a can, bottle, or glass of soda or pop"
qn77,Did not drink milk
qn78,Did not eat breakfast
qn79,Were physically active at least 60 minutes per day on 5 or more days
qn80,Watched television 3 or more hours per day
qn81,Played video or computer games or used a computer 3 or more hours per day
qn82,Attended physical education (PE) classes on 1 or more days
qn83,Played on at least one sports team
qn84,Had a concussion from playing a sport or being physically active
qn85,Were ever tested for human immunodeficiency virus (HIV)
qn86,Saw a dentist
qn87,Had ever been told by a doctor or nurse that they had asthma
qn88,Got 8 or more hours of sleep
qn89,Described their grades in school as mostly A's or B's
qnfrcig,Currently smoked cigarettes frequently
qndaycig,Currently smoked cigarettes daily
qnfrevp,Currently used an electronic vapor product frequently
qndayevp,Currently used an elecctronic vapor product daily
qnfrskl,Currently used smokeless tobacco frequently
qndayskl,Currently used smokeless tobacco daily
qnfrcgr,Currently smoked cigars frequently
qndaycgr,Currently smoked cigars daily
qntb2,Currently smoked cigarettes or cigars
qntb3,Currently smoked cigarettes or cigars or used smokeless tobacco
qntb4,Currently smoked cigarettes or cigars or used smokeless tobacco or electronic vapor products
qniudimp,"Used an IUD (e.g., Mirena or ParaGard) or implant (e.g., Implanon or Nexplanon) before last sexual intercourse"
qnshparg,"Used a shot (e.g., Depo-Provera), patch (e.g., OrthoEvra), or birth control ring (e.g., NuvaRing) before last sexual intercourse"
qnothhpl,"Used birth control pills; an IUD (such as Mirena or ParaGard) or implant (such as Implanon or Nexplanon); or a shot (such as Depo-Provera), patch (such as OrthoEvra), or birth control ring (such as NuvaRing) before last sexual intercourse"
qndualbc,"Used both condom during last sexual intercourse and birth control pills; IUD (e.g., Mirena/ParaGard)/implant (e.g., Implanon/Nexplanon); or shot (e.g., Depo-Provera)/patch (e.g., OrthoEvra)/birth control ring (e.g., NuvaRing) before last sexual intercourse"
qnbcnone,Did not use any method to prevent pregnancy during last sexual intercourse
qnfr0,Did not eat fruit or drink 100% fruit juices
qnfr1,Ate fruit or drank 100% fruit juices one or more times per day
qnfr2,Ate fruit or drank 100% fruit juices two or more times per day
qnfr3,Ate fruit or drank 100% fruit juices three or more times per day
qnveg0,Did not eat vegetables
qnveg1,Ate vegetables one or more times per day
qnveg2,Ate vegetables two or more times per day
qnveg3,Ate vegetables three or more times per day
qnsoda1,"Drank a can, bottle, or glass of soda or pop one or more times per day"
qnsoda2,"Drank a can, bottle, or glass of soda or pop two or more times per day"
qnsoda3,"Drank a can, bottle, or glass of soda or pop three or more times per day"
qnmilk1,Drank one or more glasses per day of milk
qnmilk2,Drank two or more glasses per day of milk
qnmilk3,Drank three or more glasses per day of milk
qnbk7day,Ate breakfast on all 7 days
qnpa0day,Did not participate in at least 60 minutes of physical activity on at least 1 day
qnpa7day,Were physically active at least 60 minutes per day on all 7 days
qndlype,Attended physical education (PE) classes on all 5 days
qnnodnt,Never saw a dentist
qbikehelmet,Bicycle helmet use
qdrivemarijuana,Drive when using marijuana
qcelldriving,Did you talk on cell phone while driving
qpropertydamage,Property stolen at school >= 1 time
qbullyweight,Ever been teased because of weight
qbullygender,Victim of gender teasing
qbullygay,Ever been teased b/c labeled GLB
qchokeself,Ever been choked/choked self on purpose
qcigschool,Days use cigarettes school property 30 days
